16:37:03 - INFO: Bulletin: businessindustryandtrade/business/businessservices/articles/businessimpactofcoronaviruscovid19survey/preliminaryweightedresults, MainPoints: None
16:37:04 - INFO: Bulletin: businessindustryandtrade/business/businessservices/articles/coronavirusandtheexperiencesofukbusinessestextualanalysis/march2020tojuly2020, MainPoints: None
16:37:06 - INFO: Bulletin: businessindustryandtrade/business/businessservices/articles/businessimpactofcoronavirusanalysisovertimeuk/waves2to5panel, MainPoints: None
16:37:08 - INFO: Bulletin: businessindustryandtrade/business/activitysizeandlocation/articles/economiesofalesmallpubscloseaschainsfocusonbigbars/changesintheukpubsandbarssector2001to2019, MainPoints: None
16:37:09 - INFO: Bulletin: businessindustryandtrade/business/businessservices/articles/developmentoftheannualsurveyofgoodsandservices/2018-08-31, MainPoints: None
16:37:11 - INFO: Bulletin: businessindustryandtrade/business/businessservices/articles/developmentoftheannualpurchasessurvey/2017-12-15, MainPoints: None
16:37:12 - INFO: Bulletin: businessindustryandtrade/business/businessservices/articles/fewergbcompaniesexportingabroad/2015-11-12, MainPoints: None
16:37:27 - INFO: Bulletin: businessindustryandtrade/constructionindustry/articles/constructionoutputpriceindicesopis/quarter1januarytomarch2016, MainPoints: None
16:37:30 - INFO: Bulletin: businessindustryandtrade/itandinternetindustry/articles/arewetrainingenoughpeopletobecomeprogrammers/2017-06-19, MainPoints: None
16:37:30 - INFO: Bulletin: businessindustryandtrade/itandinternetindustry/articles/ecommerceandinternetuse/2015-10-08, MainPoints: None
16:37:31 - INFO: Bulletin: businessindustryandtrade/itandinternetindustry/articles/monitoringecommerce/2014-08-07, MainPoints: None
16:37:34 - INFO: Bulletin: businessindustryandtrade/internationaltrade/articles/developingforeigndirectinvestmentstatistics/2021, MainPoints: None
16:37:34 - INFO: Bulletin: businessindustryandtrade/internationaltrade/articles/didukfirmsstockpileitemsaheadofthebrexitdeadline/2021-02-01, MainPoints: None
16:37:38 - INFO: Bulletin: businessindustryandtrade/internationaltrade/articles/uktradedevelopmentplan/2020, MainPoints: None
16:37:45 - INFO: Bulletin: businessindustryandtrade/internationaltrade/articles/worldtradeexplorer/2019-07-24, MainPoints: None
16:37:47 - INFO: Bulletin: businessindustryandtrade/internationaltrade/articles/whodoestheuktradewith/2017-02-21, MainPoints: None
16:37:48 - INFO: Bulletin: businessindustryandtrade/internationaltrade/articles/whereareindustryeyesonbrexit/2017-07-17, MainPoints: None
16:37:48 - INFO: Bulletin: businessindustryandtrade/internationaltrade/articles/tradingplacesukgoodstradewitheupartners/2017-03-28, MainPoints: None
