,Standard Industrial Classification (Revised 2007)   Section,Description,Year,Employment Sizeband 2,Number of enterprises,Total turnover,Approximate gross value added at basic prices (aGVA),"Total purchases  of goods, materials and services",Total employment costs,Total net capital expenditure 4,Total capital expenditure- acquisitions 4,Total capital expenditure - disposals 4,Total stocks and work in progress - value at end of year,Total stocks and work in progress - value at beginning of year,Total stocks and work in progress - increase during the year
0,Standard Industrial Classification (Revised 2007)   Section,Description,nan,nan,Number,£ million,£ million,£ million,£ million,£ million,£ million,£ million,£ million,£ million,£ million
1,A-S (Part) 3,"Agriculture, Fishing, Production,",2009.0,1 to 9,1682673,391302,159862,230818,62588,10638,15468,4831,47429,46914,516
2,Excludes K,"Construction, Distribution and",2009.0,10 to 49,180361,404810,130428,266724,74705,7291,9715,2424,29024,29788,-764
3,Excludes K,Non-Financial Service Industries,2009.0,50 to 249,32921,465030,136834,323309,83900,10279,13379,3100,35665,38730,-3064
4,Excludes K,Non-Financial Service Industries,2009.0,250 and over,7784,1608674,420637,1153921,268339,57780,69313,11532,85396,87113,-1717
5,Excludes K,Non-Financial Service Industries,2009.0,Total,1903739,2869816,847761,1974771,489533,85987,107875,21888,197515,202545,-5029
6,Excludes K,Non-Financial Service Industries,2010.0,1 to 9,1669732,401325,161397,238848,62437,9951,14927,4976,39073,39084,-11
7,Excludes K,Non-Financial Service Industries,2010.0,10 to 49,176536,442253,136361,303618,75243,6702,9640,2938,30424,29466,958
8,Excludes K,Non-Financial Service Industries,2010.0,50 to 249,32323,488462,145297,337754,84253,10743,14259,3516,35760,34329,1431
9,Excludes K,Non-Financial Service Industries,2010.0,250 and over,7175,1693180,437864,1226464,265510,58426,71903,13477,89315,84212,5103
10,Excludes K,Non-Financial Service Industries,2010.0,Total,1885766,3025220,880920,2106683,487443,85822,110729,24907,194572,187091,7481
11,Excludes K,Non-Financial Service Industries,2011.0,1 to 9,1720934,419554,176136,244763,64256,11560,16844,5285,33026,31507,1519
12,Excludes K,Non-Financial Service Industries,2011.0,10 to 49,180295,479122,142334,333838,79045,9543,13780,4236,34559,33850,709
13,Excludes K,Non-Financial Service Industries,2011.0,50 to 249,32547,515828,149678,360922,86881,14734,19123,4389,38170,35401,2769
14,Excludes K,Non-Financial Service Industries,2011.0,250 and over,7270,1834602,447507,1363666,272548,71535,83233,11698,95707,89515,6192
15,Excludes K,Non-Financial Service Industries,2011.0,Total,1941046,3249106,915655,2303190,502730,107372,132980,25608,201463,190273,11189
16,Excludes K,Non-Financial Service Industries,2012.0,1 to 9,1711199,413139,178293,236011,59484,13862,20237,6376,40116,38874,1242
17,Excludes K,Non-Financial Service Industries,2012.0,10 to 49,192691,499126,153644,344905,82306,9109,14652,5543,29184,28949,234
18,Excludes K,Non-Financial Service Industries,2012.0,50 to 249,33629,539824,147095,377656,89452,13028,18893,5865,38373,37500,873
19,Excludes K,Non-Financial Service Industries,2012.0,250 and over,7639,1879104,458008,1397467,286828,74445,87000,12556,97413,95588,1825
20,Excludes K,Non-Financial Service Industries,2012.0,Total,1945158,3331193,937039,2356039,518070,110443,140783,30340,205086,200912,4174
21,Excludes K,Non-Financial Service Industries,2013.0,1 to 9,1789107,444030,197642,247549,64601,13464,21921,8457,38881,37367,1515
22,Excludes K,Non-Financial Service Industries,2013.0,10 to 49,198575,514591,162142,353420,83982,10796,14268,3472,30254,28623,1631
23,Excludes K,Non-Financial Service Industries,2013.0,50 to 249,34081,564499,168729,388152,93350,16010,19710,3701,41216,39852,1363
24,Excludes K,Non-Financial Service Industries,2013.0,250 and over,7825,2020855,476465,1515511,297851,76741,91378,14637,102908,98792,4116
25,Excludes K,Non-Financial Service Industries,2013.0,Total,2029588,3543975,1004978,2504633,539784,117011,147278,30267,213260,204634,8625
26,Excludes K,Non-Financial Service Industries,2014.0,1 to 9,1843183,494721,209842,288249,66781,24939,32980,8040,41847,38452,3396
27,Excludes K,Non-Financial Service Industries,2014.0,10 to 49,207943,531922,171897,362419,89578,17826,21980,4154,34979,32711,2268
28,Excludes K,Non-Financial Service Industries,2014.0,50 to 249,34906,551824,181485,364956,99440,19563,22973,3410,42149,39340,2809
29,Excludes K,Non-Financial Service Industries,2014.0,250 and over,8000,1868588,526636,1321049,308956,84679,100259,15580,109381,105083,4299
30,Excludes K,Non-Financial Service Industries,2014.0,Total,2094032,3447055,1089861,2336672,564754,147008,178192,31184,228356,215585,12771
31,Excludes K,Non-Financial Service Industries,2015.0,1 to 9,1951830,480492,217832,265872,67187,27363,33872,6509,44124,41950,2174
32,Excludes K,Non-Financial Service Industries,2015.0,10 to 49,210187,512873,178075,335981,92770,18572,22551,3978,34056,32641,1415
33,Excludes K,Non-Financial Service Industries,2015.0,50 to 249,36244,569562,186906,375794,105912,19282,22043,2761,43494,41668,1826
34,Excludes K,Non-Financial Service Industries,2015.0,250 and over,8348,1803342,560274,1222550,325949,92638,109388,16750,116091,110016,6075
35,Excludes K,Non-Financial Service Industries,2015.0,Total,2206609,3366269,1143086,2200197,591818,157855,187854,29999,237764,226274,11490
36,Excludes K,Non-Financial Service Industries,2016.0,1 to 9,2154756,524332,219870,306515,63339,30080,34284,4204,38355,37006,1349
37,Excludes K,Non-Financial Service Industries,2016.0,10 to 49,214734,557690,187383,371620,98023,22618,26340,3722,35403,33195,2209
38,Excludes K,Non-Financial Service Industries,2016.0,50 to 249,36704,619635,191850,416754,112924,18846,22129,3283,48495,46533,1962
39,Excludes K,Non-Financial Service Industries,2016.0,250 and over,8496,1826482,565910,1242720,342038,98627,114421,15794,122226,114496,7730
40,Excludes K,Non-Financial Service Industries,2016.0,Total,2414690,3528139,1165012,2337608,616323,170171,197174,27003,244480,231230,13250
41,Excludes K,Non-Financial Service Industries,2017.0,1 to 9,2173485,582875,228097,357257,69200,23853,27635,3782,36532,35939,593
42,Excludes K,Non-Financial Service Industries,2017.0,10 to 49,217587,628060,198385,431473,101324,18132,21827,3695,37320,35249,2071
43,Excludes K,Non-Financial Service Industries,2017.0,50 to 249,37252,689138,209120,472265,116210,19996,23364,3368,51101,47192,3908
44,Excludes K,Non-Financial Service Industries,2017.0,250 and over,8624,1926159,586673,1321511,355724,92710,107940,15230,128142,122971,5171
45,Excludes K,Non-Financial Service Industries,2017.0,Total,2436948,3826231,1222275,2582506,642457,154691,180766,26075,253095,241351,11744
46,Excludes K,Non-Financial Service Industries,2018.0,1 to 9,2215186,649789,248491,402222,66091,23680,27664,3983,36618,35369,1248
