,Standard Industrial Classification (Revised 2007)     Section           Division -,Standard Industrial Classification (Revised 2007)     Section           Division -,Country and Region -,Country and Region -,STANDARD ERROR Total turnover,STANDARD ERROR Approximate gross value added at basic prices (aGVA),"STANDARD ERROR Total purchases of goods, materials and services",STANDARD ERROR Total employment costs,COEFFICIENT OF VARIATION Total turnover,COEFFICIENT OF VARIATION Approximate gross value added at basic prices (aGVA),"COEFFICIENT OF VARIATION Total purchases of goods, materials and services",COEFFICIENT OF VARIATION Total employment costs
0,nan,nan,nan,nan,£ million,£ million,£ million,£ million,Ratio,Ratio,Ratio,Ratio
1,A-S (Part) 2,UK non-financial business economy,North East,2012.0,1344.6,471.1,1096.9,210,0.02,0.02,0.02,0.01
2,A-S (Part) 2,UK non-financial business economy,North East,2013.0,1381.9,471,947,226.1,0.02,0.02,0.02,0.01
3,A-S (Part) 2,UK non-financial business economy,North East,2014.0,1696.6,586.9,1160.9,237.7,0.02,0.02,0.02,0.01
4,A-S (Part) 2,UK non-financial business economy,North East,2015.0,1754.1,506.1,1526.9,253.1,0.02,0.02,0.03,0.01
5,A-S (Part) 2,UK non-financial business economy,North East,2016.0,1390.3,613.6,1046.4,240.8,0.01,0.02,0.02,0.01
6,A-S (Part) 2,UK non-financial business economy,North East,2017.0,1421.9,608.5,1070.3,423.7,0.01,0.02,0.02,0.02
7,A-S (Part) 2,UK non-financial business economy,North East,2018.0,1595.1,573.6,1203.6,263.6,0.02,0.02,0.02,0.01
8,A-S (Part) 2,UK non-financial business economy,North East,2019.0,2329.3,1225.5,1680.2,294.1,0.02,0.03,0.03,0.02
9,A-S (Part) 2,UK non-financial business economy,North West,2012.0,3209.5,1213.2,2485.4,399.2,0.01,0.01,0.01,0.01
10,A-S (Part) 2,UK non-financial business economy,North West,2013.0,2983,1241.7,2346.9,524.1,0.01,0.01,0.01,0.01
11,A-S (Part) 2,UK non-financial business economy,North West,2014.0,3294.1,1249.7,2717.4,527.9,0.01,0.01,0.01,0.01
